Subject,Channel,Band,Correlation,P_Value
1,Fp1,Theta,0.11588161637593511,0.045634540632301004
1,Fz,Theta,0.1662023958436996,0.004013779490330338
1,F3,Theta,0.17170787139666782,0.002941393914994725
1,F7,Theta,0.034878775568270924,0.5486708218634408
1,FC5,Theta,0.053579759777358474,0.3566824432357998
1,FC1,Theta,0.07179035615409886,0.21657744981178606
1,C3,Theta,0.009212946757122293,0.8741612532428868
1,T7,Theta,0.005289479779177811,0.927550231674892
1,CP5,Theta,0.09862325556182107,0.08922658395558888
1,CP1,Theta,0.00765602573943178,0.8952927958160106
1,Pz,Theta,0.13111224351472098,0.0235977388811183
1,P3,Theta,0.09240706556219135,0.11140787953134562
1,P7,Theta,0.08719165863592133,0.1331754162299682
1,O1,Theta,0.22483242107569404,9.035220588453112e-05
1,Oz,Theta,0.22070323902641212,0.0001223391862877626
1,O2,Theta,0.13139469254861552,0.023296609527795702
1,P4,Theta,0.17039796003528793,0.003169808379657902
1,P8,Theta,0.09333998598197528,0.1078267520305158
1,CP6,Theta,0.17295704149192873,0.0027375979809996973
1,CP2,Theta,0.017786928899945445,0.759769310246513
1,Cz,Theta,-0.0035474034607130118,0.951374736150689
1,C4,Theta,-0.028282749218400818,0.6267677277900976
1,T8,Theta,0.04161017558340216,0.4742419927633206
1,FC6,Theta,-0.02304604972101923,0.6919448587895589
1,FC2,Theta,-0.00028658916631319544,0.9960692344946969
1,F4,Theta,0.08752722948474292,0.13168289802202207
1,F8,Theta,0.05454774584730976,0.34804841949679166
1,Fp2,Theta,0.11827461291391464,0.041318237256134954
1,AF7,Theta,0.07818364063792033,0.178287080771515
1,AFz,Theta,0.18673216247100047,0.0012016821634087936
1,F1,Theta,0.1893558778538907,0.001020480706397501
1,F5,Theta,0.1369063588346212,0.018050435891632553
1,FT7,Theta,0.014194213989983879,0.807221047402207
1,FC3,Theta,0.07132758943865856,0.2195616688779069
1,C1,Theta,0.029252108920122397,0.6149958540603991
1,C5,Theta,0.04671058399870197,0.4217438955552669
1,TP7,Theta,0.048251633287866025,0.4065754353337515
1,P1,Theta,0.10628181138246219,0.06692306758078974
1,P5,Theta,0.12070050050388678,0.03729900316303717
1,PO7,Theta,0.09729472188976392,0.09364261455064438
1,PO3,Theta,0.22679923969290944,7.805177764716216e-05
1,POz,Theta,0.2600479274140151,5.396415406994025e-06
1,PO4,Theta,0.18969582876547156,0.0009989399885557135
1,PO8,Theta,0.09204135386521063,0.11283692845890549
1,P6,Theta,0.18501975770117565,0.0013354233948633912
1,P2,Theta,0.18780560680421368,0.001124241731464635
1,CPz,Theta,0.027280712550622373,0.6390366182266196
1,TP8,Theta,0.10629674981204788,0.06688450396511755
1,C6,Theta,0.03313095342140755,0.5688936187056239
1,C2,Theta,-0.07080398565868444,0.22297348068267545
1,FC4,Theta,-0.00953392101521111,0.869815356915813
1,FT8,Theta,0.0190717499938664,0.7430057181083674
1,F6,Theta,0.10478137010013687,0.07089024785831731
1,AF8,Theta,0.11066297946222718,0.05636857476195007
1,F2,Theta,0.10191763974989948,0.07899391922813664
1,Fp1,Alpha,-0.021490737363140777,0.7117765691498288
1,Fz,Alpha,-0.0192667984164286,0.7404711855366818
1,F3,Alpha,0.0008896684552965005,0.9877980156477648
1,F7,Alpha,-0.011458046475969616,0.8438496631557708
1,FC5,Alpha,0.05482202343626308,0.345626219308904
1,FC1,Alpha,-0.017845929833104054,0.7589969677517713
1,C3,Alpha,-0.03994445758984541,0.4921303317009913
1,T7,Alpha,0.03811405904608907,0.5121950184325487
1,CP5,Alpha,0.09420828521131183,0.1045757439995787
1,CP1,Alpha,-0.09360241379439817,0.10683590652652783
1,Pz,Alpha,-0.05612685517020752,0.3342498478238649
1,P3,Alpha,-0.0759815502059119,0.19086517122075272
1,P7,Alpha,0.11745877682008406,0.04274942290516313
1,O1,Alpha,-0.06173121442091965,0.2881536711081702
1,Oz,Alpha,0.0703675306462229,0.22584614208810838
1,O2,Alpha,0.05557414749231778,0.33903906443504694
1,P4,Alpha,0.08887116246930793,0.12583446088610542
1,P8,Alpha,0.04946055195411173,0.3949060551860375
1,CP6,Alpha,0.028048477106925297,0.6296271216220206
1,CP2,Alpha,0.026446248858975726,0.6493294803226342
1,Cz,Alpha,-0.034791606724258524,0.5496709658594068
1,C4,Alpha,-0.028221672646438812,0.6275126588658766
1,T8,Alpha,-0.06067088738496172,0.2965306739578889
1,FC6,Alpha,-0.06469600924738601,0.26557993397679264
1,FC2,Alpha,-0.053110998710577804,0.36091143096378997
1,F4,Alpha,0.013733049240017623,0.8133675061503542
1,F8,Alpha,0.04862908087284818,0.4029102330667055
1,Fp2,Alpha,0.011297042607039934,0.8460163223255595
1,AF7,Alpha,-0.03797398456592476,0.5137478008534653
1,AFz,Alpha,-0.011866542231767653,0.8383577681778567
1,F1,Alpha,-0.01576171412515597,0.786419733856863
1,F5,Alpha,0.0049548184756973155,0.9321226823957199
1,FT7,Alpha,0.037464058256361066,0.519421058169627
1,FC3,Alpha,0.02663071477987413,0.6470483167480096
1,C1,Alpha,-0.008446330148758556,0.8845560705674624
1,C5,Alpha,0.08427285539632769,0.14671200709615181
1,TP7,Alpha,0.07865516463564282,0.17567544157333057
1,P1,Alpha,-0.11407352854576815,0.04914117068325646
1,P5,Alpha,-0.015268120068774286,0.7929543273393879
1,PO7,Alpha,0.0015277088624817367,0.9790487447001233
1,PO3,Alpha,-0.06559649548476139,0.25897032054935104
1,POz,Alpha,0.0005191266626779283,0.9928798898039566
1,PO4,Alpha,0.08293421258096428,0.15325995581669943
1,PO8,Alpha,0.04603275231882638,0.42851894263501544
1,P6,Alpha,0.12373866767710587,0.0327368484037254
1,P2,Alpha,0.0396058867609425,0.49580981909013855
1,CPz,Alpha,-0.01282383015941083,0.8255189025717331
1,TP8,Alpha,0.01760062294110621,0.7622096808785028
1,C6,Alpha,-0.03913644174613895,0.5009356794946345
1,C2,Alpha,-0.02869721610943986,0.6217226417339055
1,FC4,Alpha,-0.07730087240332159,0.1832535827170937
1,FT8,Alpha,-0.02265135448450224,0.6969583748147758
1,F6,Alpha,0.028497687935605916,0.6241492043582859
1,AF8,Alpha,0.06070239839638701,0.2962794110644822
1,F2,Alpha,0.018879810995092484,0.7455025542253885
2,Fp1,Theta,0.022583952244986494,0.7077341518119924
2,Fz,Theta,0.010440665693057903,0.8624148000807368
2,F3,Theta,-0.025984809385293677,0.6661963926084598
2,F7,Theta,-0.039772261184153196,0.5089910377873872
