Subject,Channel,Band,Correlation,P_Value
1,Fp1,Theta,-0.05636011457600185,0.332241739545848
1,Fz,Theta,0.022128445302203346,0.7036207945777666
1,F3,Theta,0.03277812581227664,0.5730185033028179
1,F7,Theta,-0.02339141110960916,0.6875689764144608
1,FC5,Theta,0.005902797141731107,0.919176808165944
1,FC1,Theta,0.03353945793958638,0.5641355227247109
1,C3,Theta,-0.0011239320947124092,0.984585398327001
1,T7,Theta,0.043086952637419046,0.4586847469991602
1,CP5,Theta,-0.01705320736564775,0.7693936651658874
1,CP1,Theta,-0.03084975069193331,0.5958087222418658
1,Pz,Theta,-0.01926163198466924,0.7405382841082926
1,P3,Theta,0.016822281860502067,0.7724301623408614
1,P7,Theta,0.04273136110288239,0.4624045296453315
1,O1,Theta,0.004466746409606807,0.9387951282811136
1,Oz,Theta,-0.08790013119836287,0.13003950988793603
1,O2,Theta,-0.04600079694084478,0.4288398894190564
1,P4,Theta,0.05092031673296554,0.38108711251633043
1,P8,Theta,0.0855906160569728,0.14047631888409629
1,CP6,Theta,0.05563361700776052,0.3385216675863112
1,CP2,Theta,-0.07480980317010404,0.19781727388384268
1,Cz,Theta,-0.06345964786649722,0.27484175293291346
1,C4,Theta,-0.029078808246807197,0.617093302068888
1,T8,Theta,0.00457542289707223,0.9373090225700893
1,FC6,Theta,0.05141631033599889,0.3764598231393703
1,FC2,Theta,0.005620812423125579,0.9230256033997523
1,F4,Theta,0.06063571000330108,0.2968113392948552
1,F8,Theta,-0.005408969840844494,0.9259182171075482
1,Fp2,Theta,0.010460741693055676,0.8572888681954591
1,AF7,Theta,-0.04510780841606788,0.43786479314346083
1,AFz,Theta,0.01949440398143305,0.7375171347226097
1,F1,Theta,0.009718390241274275,0.8673194586850403
1,F5,Theta,-0.030920251483960697,0.5949683206038253
1,FT7,Theta,0.07352245155744029,0.2056657630221445
1,FC3,Theta,-0.007689494428759506,0.8948377037256889
1,C1,Theta,0.010835992808485259,0.8522271128119039
1,C5,Theta,0.00015514001478322077,0.9978721430349524
1,TP7,Theta,0.030715426334773283,0.597411418379605
1,P1,Theta,-0.02838108704902212,0.6255691288971561
1,P5,Theta,0.0018246487735426578,0.9749776814188205
1,PO7,Theta,-0.0389671651666805,0.5027908372945178
1,PO3,Theta,0.005710395878884728,0.9218026846449087
1,POz,Theta,-0.05252818388832031,0.3662128123685692
1,PO4,Theta,-0.037573094521761025,0.518205261479257
1,PO8,Theta,0.01300117025296005,0.8231454499138451
1,P6,Theta,0.07719739534720887,0.18384236351984432
1,P2,Theta,-0.0472029415012003,0.41686212075033613
1,CPz,Theta,-0.044535299521187934,0.44370752946300496
1,TP8,Theta,0.05016440289962058,0.38820575997568985
1,C6,Theta,0.04239290031832499,0.4659606100997916
1,C2,Theta,-0.00887817097369971,0.878698043729963
1,FC4,Theta,0.01887659303167265,0.7455444378239502
1,FT8,Theta,0.0015663509862329317,0.9785189259761322
1,F6,Theta,0.032852893117544295,0.5721432257328167
1,AF8,Theta,0.01530906658940831,0.7924116870516217
1,F2,Theta,0.0817275160446341,0.15934987699811134
1,Fp1,Alpha,-0.0235957753903699,0.6849844732941944
1,Fz,Alpha,0.01327062847610789,0.8195422089469291
1,F3,Alpha,0.11383138241707268,0.049627442080758526
1,F7,Alpha,0.03321550749278642,0.5679072030913437
1,FC5,Alpha,0.06429581831352404,0.2685541369880625
1,FC1,Alpha,0.04025086389301774,0.4888130031653488
1,C3,Alpha,0.008867936649321093,0.878836799739181
1,T7,Alpha,0.014969463967420757,0.7969152438611047
1,CP5,Alpha,0.07707181128779948,0.184558803313253
1,CP1,Alpha,0.10154953599991655,0.08008789622605433
1,Pz,Alpha,0.028542881155670746,0.6235992301360023
1,P3,Alpha,0.062258893644672304,0.28404454182948047
1,P7,Alpha,0.02603039551111498,0.6544840443532641
1,O1,Alpha,0.05485275429180978,0.3453554964750829
1,Oz,Alpha,-0.017714601627341384,0.7607164242937527
1,O2,Alpha,0.05827607033597298,0.31604167643923653
1,P4,Alpha,0.0045838176488001555,0.9371942368088565
1,P8,Alpha,0.0702022862774179,0.22694057805940474
1,CP6,Alpha,0.01529768122009423,0.7925625606633152
1,CP2,Alpha,0.03126962931178885,0.590811547835532
1,Cz,Alpha,-0.0713342758263207,0.2195183426898185
1,C4,Alpha,-0.019897370422981703,0.7322965806039394
1,T8,Alpha,0.004743560482931309,0.935010240990352
1,FC6,Alpha,0.05123082680516766,0.37818620817003445
1,FC2,Alpha,0.05288295840662644,0.36297999351600274
1,F4,Alpha,0.09169132424667852,0.11421812276586088
1,F8,Alpha,0.05900944912502221,0.30997961103462507
1,Fp2,Alpha,-0.041756939228582056,0.4726831022313416
1,AF7,Alpha,0.0009301502772872212,0.9872428452505829
1,AFz,Alpha,0.0548280098430887,0.3455734716312867
1,F1,Alpha,0.044129701466865616,0.447873530291899
1,F5,Alpha,0.10042910044867352,0.08349330528102308
