Subject,Channel,Band,Correlation,P_Value
1,Fp1,Alpha,-0.031911,0.583221
1,Fz,Alpha,0.020814,0.720473
1,F3,Alpha,-0.039976,0.491794
1,F7,Alpha,-0.030555,0.599324
1,FC5,Alpha,0.073556,0.205460
1,FC1,Alpha,0.051190,0.378565
1,C3,Alpha,-0.009728,0.867190
1,T7,Alpha,0.141734,0.014334
1,CP5,Alpha,0.072990,0.208975
1,CP1,Alpha,-0.094839,0.102263
1,Pz,Alpha,-0.053326,0.358967
1,P3,Alpha,-0.108665,0.060997
1,P7,Alpha,0.057832,0.319752
1,O1,Alpha,-0.157658,0.006387
1,Oz,Alpha,-0.075223,0.195344
1,O2,Alpha,-0.012326,0.832195
1,P4,Alpha,0.035072,0.546452
1,P8,Alpha,0.051386,0.376738
1,CP6,Alpha,0.021113,0.716628
1,CP2,Alpha,0.009779,0.866506
1,Cz,Alpha,0.042736,0.462360
1,C4,Alpha,-0.004283,0.941309
1,T8,Alpha,-0.101602,0.079932
1,FC6,Alpha,0.006828,0.906556
1,FC2,Alpha,0.000432,0.994079
1,F4,Alpha,0.045693,0.431938
1,F8,Alpha,-0.014496,0.803202
1,Fp2,Alpha,0.005264,0.927899
1,AF7,Alpha,-0.088252,0.128504
1,AFz,Alpha,-0.011550,0.842612
1,F1,Alpha,0.013803,0.812435
1,F5,Alpha,-0.040116,0.490271
1,FT7,Alpha,0.101984,0.078799
1,FC3,Alpha,0.017962,0.757482
1,C1,Alpha,-0.014390,0.804616
1,C5,Alpha,0.093025,0.109026
1,TP7,Alpha,0.067212,0.247401
1,P1,Alpha,-0.117488,0.042697
1,P5,Alpha,-0.056381,0.332066
1,PO7,Alpha,-0.081329,0.161398
1,PO3,Alpha,-0.145784,0.011751
1,POz,Alpha,-0.121850,0.035513
1,PO4,Alpha,0.008351,0.885846
1,PO8,Alpha,0.016475,0.776998
1,P6,Alpha,0.013817,0.812245
1,P2,Alpha,-0.035526,0.541278
1,CPz,Alpha,0.015975,0.783602
1,TP8,Alpha,0.007672,0.895077
1,C6,Alpha,-0.022785,0.695257
1,C2,Alpha,-0.022211,0.702569
1,FC4,Alpha,-0.014919,0.797579
1,FT8,Alpha,-0.073350,0.206735
1,F6,Alpha,0.007297,0.900346
1,AF8,Alpha,0.034641,0.551399
1,F2,Alpha,0.022030,0.704882
2,Fp1,Alpha,-0.051843,0.402422
2,Fz,Alpha,-0.051359,0.401478
2,F3,Alpha,-0.065254,0.279123
2,F7,Alpha,-0.038482,0.525874
2,FC5,Alpha,0.069931,0.256628
2,FC1,Alpha,-0.037062,0.545771
2,C3,Alpha,0.116716,0.074759
2,T7,Alpha,0.057655,0.345290
2,CP5,Alpha,0.147313,0.017242
2,CP1,Alpha,0.028599,0.645578
2,Pz,Alpha,-0.116399,0.054293
2,P3,Alpha,0.073662,0.232054
2,P7,Alpha,0.099348,0.104628
2,O1,Alpha,0.058951,0.343737
2,Oz,Alpha,-0.016426,0.790909
2,O2,Alpha,0.025460,0.681082
2,P4,Alpha,-0.064726,0.290166
2,P8,Alpha,0.023991,0.703563
2,CP6,Alpha,-0.054053,0.378102
2,CP2,Alpha,-0.010659,0.859814
