Subject,Channel,Band,Correlation,P_Value
1,Fp1,Aperiodic_Exponent,0.072938,0.209302
1,Fz,Aperiodic_Exponent,0.061939,0.286533
1,F3,Aperiodic_Exponent,0.075594,0.193146
1,F7,Aperiodic_Exponent,0.095574,0.099621
1,FC5,Aperiodic_Exponent,0.269803,0.000002
1,FC1,Aperiodic_Exponent,0.042961,0.459998
1,C3,Aperiodic_Exponent,0.095496,0.099896
1,T7,Aperiodic_Exponent,0.259742,0.000006
1,CP5,Aperiodic_Exponent,0.059086,0.309350
1,CP1,Aperiodic_Exponent,0.041365,0.476850
1,Pz,Aperiodic_Exponent,0.066696,0.251057
1,P3,Aperiodic_Exponent,0.023810,0.682275
1,P7,Aperiodic_Exponent,-0.070426,0.225457
1,O1,Aperiodic_Exponent,0.032239,0.579346
1,Oz,Aperiodic_Exponent,0.156934,0.006637
1,O2,Aperiodic_Exponent,0.137849,0.017265
1,P4,Aperiodic_Exponent,0.067714,0.243875
1,P8,Aperiodic_Exponent,0.066327,0.253692
1,CP6,Aperiodic_Exponent,0.074150,0.201812
1,CP2,Aperiodic_Exponent,0.056883,0.327767
1,Cz,Aperiodic_Exponent,0.111464,0.054596
1,C4,Aperiodic_Exponent,0.047005,0.418823
1,T8,Aperiodic_Exponent,0.063514,0.274434
1,FC6,Aperiodic_Exponent,0.055792,0.337148
1,FC2,Aperiodic_Exponent,0.099719,0.085713
1,F4,Aperiodic_Exponent,0.061871,0.287059
1,F8,Aperiodic_Exponent,0.177167,0.002142
1,Fp2,Aperiodic_Exponent,-0.028392,0.625435
1,AF7,Aperiodic_Exponent,0.079515,0.170988
1,AFz,Aperiodic_Exponent,-0.071451,0.218762
1,F1,Aperiodic_Exponent,-0.016407,0.777895
1,F5,Aperiodic_Exponent,0.109929,0.058033
1,FT7,Aperiodic_Exponent,0.258640,0.000006
1,FC3,Aperiodic_Exponent,0.195106,0.000708
1,C1,Aperiodic_Exponent,0.061511,0.289881
1,C5,Aperiodic_Exponent,0.198511,0.000567
1,TP7,Aperiodic_Exponent,0.142858,0.013571
1,P1,Aperiodic_Exponent,0.017623,0.761911
1,P5,Aperiodic_Exponent,-0.031315,0.590269
1,PO7,Aperiodic_Exponent,-0.041422,0.476242
1,PO3,Aperiodic_Exponent,0.059177,0.308609
1,POz,Aperiodic_Exponent,0.183590,0.001457
1,PO4,Aperiodic_Exponent,0.136308,0.018565
1,PO8,Aperiodic_Exponent,0.102408,0.077555
1,P6,Aperiodic_Exponent,-0.047034,0.418531
1,P2,Aperiodic_Exponent,0.029433,0.612811
1,CPz,Aperiodic_Exponent,0.035934,0.536634
1,TP8,Aperiodic_Exponent,0.013109,0.821703
1,C6,Aperiodic_Exponent,-0.005321,0.927120
1,C2,Aperiodic_Exponent,0.084317,0.146501
1,FC4,Aperiodic_Exponent,0.024892,0.668677
1,FT8,Aperiodic_Exponent,0.157826,0.006330
1,F6,Aperiodic_Exponent,-0.007620,0.895778
1,AF8,Aperiodic_Exponent,0.012300,0.832544
1,F2,Aperiodic_Exponent,0.051991,0.371141
2,Fp1,Aperiodic_Exponent,-0.009792,0.870888
2,Fz,Aperiodic_Exponent,-0.083455,0.165251
2,F3,Aperiodic_Exponent,-0.031874,0.596673
2,F7,Aperiodic_Exponent,0.083673,0.164146
2,FC5,Aperiodic_Exponent,0.009783,0.870999
2,FC1,Aperiodic_Exponent,-0.083545,0.164795
2,C3,Aperiodic_Exponent,-0.014402,0.811056
2,T7,Aperiodic_Exponent,0.062617,0.298174
2,CP5,Aperiodic_Exponent,-0.018996,0.752507
2,CP1,Aperiodic_Exponent,-0.000637,0.991561
2,Pz,Aperiodic_Exponent,-0.030385,0.613942
2,P3,Aperiodic_Exponent,0.058749,0.329077
2,P7,Aperiodic_Exponent,-0.091416,0.128377
2,O1,Aperiodic_Exponent,0.052977,0.378892
2,Oz,Aperiodic_Exponent,-0.002778,0.963224
2,O2,Aperiodic_Exponent,-0.076795,0.201765
2,P4,Aperiodic_Exponent,-0.091811,0.126729
2,P8,Aperiodic_Exponent,-0.058935,0.327544
2,CP6,Aperiodic_Exponent,-0.086790,0.148942
2,CP2,Aperiodic_Exponent,-0.166587,0.005361
2,Cz,Aperiodic_Exponent,-0.109640,0.067950
2,C4,Aperiodic_Exponent,0.002360,0.968754
2,T8,Aperiodic_Exponent,-0.106145,0.077260
2,FC6,Aperiodic_Exponent,0.018101,0.763821
2,FC2,Aperiodic_Exponent,0.057653,0.338195
2,F4,Aperiodic_Exponent,-0.075578,0.209022
2,F8,Aperiodic_Exponent,-0.012416,0.836715
2,Fp2,Aperiodic_Exponent,-0.073112,0.224306
2,AF7,Aperiodic_Exponent,-0.026395,0.661252
2,AFz,Aperiodic_Exponent,0.049011,0.415650
2,F1,Aperiodic_Exponent,-0.034756,0.563894
