Subject,Channel,Band,Correlation,P_Value
1,Fp1,Theta,0.124280,0.032268
1,Fz,Theta,0.130644,0.024104
1,F3,Theta,0.129668,0.025191
1,F7,Theta,-0.010382,0.858357
1,FC5,Theta,0.017464,0.764007
1,FC1,Theta,0.083564,0.150150
1,C3,Theta,-0.009903,0.865052
1,T7,Theta,-0.010684,0.854276
1,CP5,Theta,0.039809,0.493606
1,CP1,Theta,-0.007527,0.897048
1,Pz,Theta,0.051632,0.375266
1,P3,Theta,0.051462,0.376846
1,P7,Theta,0.049404,0.396246
1,O1,Theta,0.066595,0.252581
1,Oz,Theta,-0.019187,0.741514
1,O2,Theta,0.023310,0.688601
1,P4,Theta,0.169173,0.003398
1,P8,Theta,0.071952,0.215540
1,CP6,Theta,0.102246,0.078027
1,CP2,Theta,0.024055,0.679195
1,Cz,Theta,-0.005000,0.931500
1,C4,Theta,-0.047076,0.418119
1,T8,Theta,-0.074120,0.201997
1,FC6,Theta,0.039609,0.496507
1,FC2,Theta,-0.011202,0.847298
1,F4,Theta,0.089069,0.126276
1,F8,Theta,-0.063847,0.273549
1,Fp2,Theta,0.131702,0.023678
1,AF7,Theta,0.012582,0.830190
1,AFz,Theta,0.151082,0.009115
1,F1,Theta,0.186066,0.001252
1,F5,Theta,0.065793,0.259160
1,FT7,Theta,0.027049,0.643585
1,FC3,Theta,0.048223,0.406858
1,C1,Theta,-0.022094,0.704060
1,C5,Theta,-0.022817,0.695344
1,TP7,Theta,-0.006439,0.911869
1,P1,Theta,0.041160,0.479789
1,P5,Theta,0.055042,0.343694
1,PO7,Theta,0.032192,0.580545
1,PO3,Theta,0.066954,0.250022
1,POz,Theta,0.027807,0.633151
1,PO4,Theta,0.128725,0.026279
1,PO8,Theta,0.077432,0.182510
1,P6,Theta,0.171760,0.002933
1,P2,Theta,0.090416,0.120622
1,CPz,Theta,0.050515,0.385704
1,TP8,Theta,0.062456,0.284155
1,C6,Theta,0.019406,0.738668
1,C2,Theta,-0.069767,0.229842
1,FC4,Theta,-0.033883,0.560145
1,FT8,Theta,-0.086833,0.135449
1,F6,Theta,0.102752,0.077060
1,AF8,Theta,0.055993,0.337042
1,F2,Theta,0.083143,0.152919
2,Fp1,Theta,-0.011179,0.853587
2,Fz,Theta,0.038384,0.524653
2,F3,Theta,0.014830,0.806597
2,F7,Theta,-0.058005,0.348763
2,FC5,Theta,-0.001553,0.979780
2,FC1,Theta,-0.002874,0.962094
2,C3,Theta,-0.032427,0.595079
2,T7,Theta,0.049236,0.422995
2,CP5,Theta,0.057731,0.341966
2,CP1,Theta,-0.045319,0.460869
2,Pz,Theta,-0.049903,0.411497
2,P3,Theta,-0.063309,0.304538
2,P7,Theta,-0.052761,0.389627
2,O1,Theta,-0.171973,0.004524
2,Oz,Theta,-0.135287,0.024076
2,O2,Theta,-0.089695,0.138629
2,P4,Theta,-0.028026,0.647855
2,P8,Theta,0.007880,0.898029
2,CP6,Theta,0.026704,0.665215
2,CP2,Theta,0.095360,0.115286
2,Cz,Theta,0.038701,0.522754
2,C4,Theta,-0.016134,0.791107
2,T8,Theta,0.062396,0.310654
2,FC6,Theta,-0.012649,0.836702
2,FC2,Theta,-0.033767,0.575738
2,F4,Theta,-0.008580,0.891550
2,F8,Theta,-0.067069,0.278490
2,Fp2,Theta,-0.084028,0.195484
2,AF7,Theta,-0.081365,0.185015
2,AFz,Theta,-0.010701,0.860037
2,F1,Theta,0.057363,0.342397
2,F5,Theta,-0.115822,0.056875
2,FT7,Theta,-0.006971,0.911619
2,FC3,Theta,-0.047668,0.430246
2,C1,Theta,-0.020286,0.737231
2,C5,Theta,-0.022604,0.716782
2,TP7,Theta,-0.021690,0.725744
2,P1,Theta,-0.041775,0.495885
2,P5,Theta,-0.043283,0.479616
2,PO7,Theta,-0.180195,0.003017
2,PO3,Theta,-0.036367,0.557099
2,POz,Theta,-0.174564,0.003561
2,PO4,Theta,-0.065474,0.278380
2,PO8,Theta,-0.120599,0.046509
2,P6,Theta,-0.008782,0.888144
2,P2,Theta,-0.053877,0.374334
2,CPz,Theta,0.003378,0.955610
2,TP8,Theta,0.056029,0.362712
2,C6,Theta,0.020613,0.735520
2,C2,Theta,0.004405,0.942248
2,FC4,Theta,-0.022446,0.712481
2,FT8,Theta,-0.063236,0.301438
2,F6,Theta,-0.046202,0.451312
2,AF8,Theta,-0.084006,0.181146
2,F2,Theta,-0.022511,0.712197
3,Fp1,Theta,0.111123,0.057880
3,Fz,Theta,-0.007013,0.905351
3,F3,Theta,-0.141445,0.016117
3,F7,Theta,-0.004427,0.940471
3,FC5,Theta,-0.048406,0.411511
3,FC1,Theta,-0.065507,0.269522
3,C3,Theta,0.005928,0.919663
3,T7,Theta,0.014072,0.810769
3,CP5,Theta,-0.020354,0.731341
3,CP1,Theta,-0.028767,0.622659
3,Pz,Theta,0.229649,0.000071
3,P3,Theta,-0.032269,0.582869
3,P7,Theta,-0.017854,0.767769
3,O1,Theta,0.013795,0.823133
3,Oz,Theta,-0.006163,0.920315
3,O2,Theta,-0.056259,0.348283
3,P4,Theta,0.103674,0.075420
3,P8,Theta,-0.049356,0.400743
3,CP6,Theta,0.080290,0.170472
3,CP2,Theta,0.044221,0.450800
3,Cz,Theta,0.011561,0.844320
3,C4,Theta,0.040601,0.491007
3,T8,Theta,-0.038606,0.509649
3,FC6,Theta,-0.008096,0.891762
3,FC2,Theta,0.023481,0.690487
3,F4,Theta,-0.072134,0.228060
3,F8,Theta,-0.036181,0.541546
3,Fp2,Theta,-0.011535,0.847615
3,AF7,Theta,0.063005,0.286587
3,AFz,Theta,0.011640,0.844348
3,F1,Theta,-0.034889,0.554706
3,F5,Theta,0.072976,0.212171
3,FT7,Theta,-0.026612,0.650636
3,FC3,Theta,-0.093289,0.114803
3,C1,Theta,0.060185,0.303720
3,C5,Theta,0.000512,0.993107
3,TP7,Theta,0.031382,0.595844
3,P1,Theta,-0.016741,0.775003
3,P5,Theta,-0.012861,0.827369
3,PO7,Theta,-0.035432,0.565799
3,PO3,Theta,-0.017563,0.769023
3,POz,Theta,0.047214,0.423128
3,PO4,Theta,-0.053607,0.369790
3,PO8,Theta,-0.064438,0.280851
3,P6,Theta,0.015480,0.791543
3,P2,Theta,0.201960,0.000516
3,CPz,Theta,0.073871,0.207384
3,TP8,Theta,0.067821,0.245541
3,C6,Theta,0.013313,0.821397
3,C2,Theta,0.011556,0.844120
3,FC4,Theta,0.002136,0.971313
3,FT8,Theta,-0.008942,0.879693
3,F6,Theta,-0.066289,0.262160
3,AF8,Theta,-0.078629,0.199426
3,F2,Theta,-0.032310,0.585012
4,Fp1,Theta,0.110913,0.117926
4,Fz,Theta,0.135866,0.048187
4,F3,Theta,0.034265,0.640630
4,F7,Theta,0.056017,0.430785
4,FC5,Theta,0.047059,0.499687
4,FC1,Theta,0.154302,0.025344
4,C3,Theta,0.092905,0.176744
4,T7,Theta,0.056605,0.414479
4,CP5,Theta,0.203581,0.003040
4,CP1,Theta,0.127187,0.065829
4,Pz,Theta,0.101854,0.146171
4,P3,Theta,0.271790,0.000061
4,P7,Theta,0.147383,0.034072
4,O1,Theta,0.195649,0.004429
4,Oz,Theta,0.237706,0.000638
4,O2,Theta,0.230787,0.000952
4,P4,Theta,0.129243,0.064101
4,P8,Theta,0.141659,0.041745
4,CP6,Theta,0.236397,0.000605
4,CP2,Theta,0.144396,0.039348
4,Cz,Theta,0.099164,0.148260
4,C4,Theta,0.123052,0.073797
4,T8,Theta,0.036663,0.597291
4,FC6,Theta,0.032664,0.660688
4,FC2,Theta,0.170566,0.013318
4,F4,Theta,0.156783,0.027396
4,F8,Theta,-0.003477,0.963897
4,Fp2,Theta,0.131082,0.064292
4,AF7,Theta,0.113021,0.114744
4,AFz,Theta,0.138220,0.047560
4,F1,Theta,0.122971,0.073987
4,F5,Theta,0.074711,0.328612
4,FT7,Theta,0.076951,0.264658
4,FC3,Theta,0.147807,0.032700
4,C1,Theta,0.145340,0.034010
4,C5,Theta,0.087427,0.205933
4,TP7,Theta,0.143428,0.039232
4,P1,Theta,0.176416,0.010242
4,P5,Theta,0.270639,0.000063
4,PO7,Theta,0.235958,0.000565
4,PO3,Theta,0.201196,0.003409
4,POz,Theta,0.116762,0.092249
4,PO4,Theta,0.157910,0.023397
4,PO8,Theta,0.227008,0.000896
4,P6,Theta,0.160427,0.019721
4,P2,Theta,0.204207,0.003238
4,CPz,Theta,0.103492,0.144746
4,TP8,Theta,0.123850,0.074702
4,C6,Theta,0.168491,0.013809
4,C2,Theta,0.150314,0.028284
4,FC4,Theta,0.100270,0.152578
4,FT8,Theta,0.116241,0.098626
4,F6,Theta,0.058413,0.451985
4,AF8,Theta,0.126388,0.084770
4,F2,Theta,0.166823,0.015029
5,Fp1,Theta,0.052834,0.363426
5,Fz,Theta,0.057332,0.323958
5,F3,Theta,0.077330,0.183833
5,F7,Theta,0.010124,0.863001
5,FC5,Theta,0.029427,0.613482
5,FC1,Theta,0.053302,0.359183
5,C3,Theta,0.081099,0.162596
5,T7,Theta,0.015641,0.789416
5,CP5,Theta,-0.051575,0.375794
5,CP1,Theta,-0.040940,0.481400
5,Pz,Theta,-0.101354,0.081188
5,P3,Theta,-0.044301,0.446108
5,P7,Theta,-0.041751,0.473494
5,O1,Theta,0.039359,0.498498
5,Oz,Theta,0.050978,0.380547
5,O2,Theta,0.046769,0.421167
5,P4,Theta,0.029597,0.610827
5,P8,Theta,0.057433,0.323105
5,CP6,Theta,0.050396,0.386013
5,CP2,Theta,0.003168,0.956565
5,Cz,Theta,-0.010899,0.851881
5,C4,Theta,0.010149,0.861500
5,T8,Theta,0.051422,0.376407
5,FC6,Theta,0.020815,0.720452
5,FC2,Theta,0.023193,0.690077
5,F4,Theta,-0.011356,0.845218
5,F8,Theta,0.061202,0.293136
5,Fp2,Theta,-0.067888,0.243465
5,AF7,Theta,-0.008249,0.888185
5,AFz,Theta,0.099553,0.086237
5,F1,Theta,0.063132,0.277335
5,F5,Theta,-0.004364,0.940397
5,FT7,Theta,0.044200,0.448695
5,FC3,Theta,0.043107,0.458477
5,C1,Theta,0.013412,0.817651
5,C5,Theta,0.005867,0.920215
5,TP7,Theta,-0.053454,0.360264
5,P1,Theta,-0.084211,0.147693
5,P5,Theta,-0.006668,0.908744
5,PO7,Theta,-0.038819,0.504422
5,PO3,Theta,-0.018298,0.753494
5,POz,Theta,0.040112,0.490310
5,PO4,Theta,0.022394,0.700231
5,PO8,Theta,0.055151,0.342738
5,P6,Theta,0.044210,0.447046
5,P2,Theta,-0.033884,0.560140
5,CPz,Theta,-0.054375,0.349582
5,TP8,Theta,-0.017521,0.763249
5,C6,Theta,0.009791,0.866556
5,C2,Theta,-0.017168,0.768262
5,FC4,Theta,-0.015766,0.786711
5,FT8,Theta,0.084780,0.146339
5,F6,Theta,-0.025362,0.663335
5,AF8,Theta,-0.018117,0.755846
5,F2,Theta,0.033719,0.562048
6,Fp1,Theta,0.146847,0.014083
6,Fz,Theta,-0.008635,0.882198
6,F3,Theta,-0.086525,0.138861
6,F7,Theta,0.045021,0.456315
6,FC5,Theta,0.073069,0.221246
6,FC1,Theta,-0.111040,0.056784
6,C3,Theta,-0.033952,0.564720
6,T7,Theta,0.036956,0.527212
6,CP5,Theta,-0.015729,0.788260
6,CP1,Theta,0.049783,0.393440
6,Pz,Theta,0.070107,0.230745
6,P3,Theta,0.017323,0.766234
6,P7,Theta,-0.028115,0.629397
6,O1,Theta,0.059580,0.306963
6,Oz,Theta,0.059309,0.309996
6,O2,Theta,0.053557,0.357702
6,P4,Theta,0.110222,0.058643
6,P8,Theta,-0.087365,0.135050
6,CP6,Theta,0.084321,0.150644
6,CP2,Theta,0.067201,0.249888
6,Cz,Theta,-0.086115,0.139393
6,C4,Theta,0.023472,0.687560
6,T8,Theta,0.002484,0.966226
6,FC6,Theta,-0.061573,0.297703
6,FC2,Theta,-0.045901,0.430628
6,F4,Theta,-0.100669,0.087581
6,F8,Theta,-0.040431,0.499673
6,Fp2,Theta,0.103776,0.084704
6,AF7,Theta,0.044218,0.469339
6,AFz,Theta,-0.133407,0.023802
6,F1,Theta,-0.086066,0.138279
6,F5,Theta,-0.019736,0.743208
6,FT7,Theta,-0.004420,0.940258
6,FC3,Theta,0.037423,0.525589
6,C1,Theta,-0.061727,0.289821
6,C5,Theta,0.012846,0.828752
6,TP7,Theta,-0.012990,0.825070
6,P1,Theta,0.035463,0.543365
6,P5,Theta,0.023565,0.686379
6,PO7,Theta,0.061109,0.294688
6,PO3,Theta,0.069653,0.230602
6,POz,Theta,0.112513,0.053557
6,PO4,Theta,0.090151,0.120456
6,PO8,Theta,-0.007941,0.891962
6,P6,Theta,0.068490,0.240100
6,P2,Theta,0.112569,0.052628
6,CPz,Theta,0.028760,0.622150
6,TP8,Theta,-0.034146,0.558441
6,C6,Theta,0.040008,0.493645
6,C2,Theta,-0.069654,0.237016
6,FC4,Theta,-0.070744,0.233833
6,FT8,Theta,0.036468,0.536216
6,F6,Theta,-0.021795,0.714095
6,AF8,Theta,0.040214,0.508190
6,F2,Theta,-0.087076,0.134353
7,Fp1,Theta,-0.036745,0.620458
7,Fz,Theta,-0.033106,0.645907
7,F3,Theta,-0.085950,0.235870
7,F7,Theta,0.039686,0.596842
7,FC5,Theta,-0.069596,0.332404
7,FC1,Theta,-0.146271,0.040784
7,C3,Theta,-0.039910,0.582582
7,T7,Theta,0.073218,0.311575
7,CP5,Theta,-0.028606,0.692915
7,CP1,Theta,-0.116694,0.111721
7,Pz,Theta,-0.055074,0.445636
7,P3,Theta,0.022350,0.759542
7,P7,Theta,0.011975,0.868040
7,O1,Theta,-0.049689,0.491424
7,Oz,Theta,-0.091092,0.205338
7,O2,Theta,-0.170960,0.016867
7,P4,Theta,-0.073642,0.307507
7,P8,Theta,-0.230307,0.001272
7,CP6,Theta,-0.007655,0.916295
7,CP2,Theta,-0.084843,0.243223
7,Cz,Theta,-0.117954,0.101419
7,C4,Theta,0.090944,0.208453
7,T8,Theta,-0.034908,0.628941
7,FC6,Theta,0.089725,0.213440
7,FC2,Theta,-0.052626,0.466144
7,F4,Theta,0.042641,0.557026
7,F8,Theta,-0.032888,0.653242
7,Fp2,Theta,-0.157783,0.035427
7,AF7,Theta,-0.101930,0.180782
7,AFz,Theta,-0.040902,0.571221
7,F1,Theta,-0.058833,0.415149
7,F5,Theta,-0.037676,0.606756
7,FT7,Theta,0.096804,0.183959
7,FC3,Theta,-0.112948,0.116873
7,C1,Theta,-0.164013,0.022303
7,C5,Theta,-0.084888,0.244231
7,TP7,Theta,0.081612,0.257944
7,P1,Theta,-0.016949,0.815976
7,P5,Theta,0.188988,0.008312
7,PO7,Theta,0.066220,0.358939
7,PO3,Theta,0.092416,0.201151
7,POz,Theta,-0.161078,0.024850
7,PO4,Theta,-0.168790,0.019265
7,PO8,Theta,-0.179146,0.012674
7,P6,Theta,-0.112221,0.124194
7,P2,Theta,-0.068348,0.347482
7,CPz,Theta,-0.103264,0.150838
7,TP8,Theta,-0.063460,0.379367
7,C6,Theta,0.082304,0.251448
7,C2,Theta,-0.110329,0.125658
7,FC4,Theta,0.071441,0.323496
7,FT8,Theta,-0.013862,0.848659
7,F6,Theta,-0.080299,0.278561
7,AF8,Theta,-0.059360,0.432556
7,F2,Theta,-0.015123,0.833375
8,Fp1,Theta,0.015526,0.794474
8,Fz,Theta,0.107601,0.065872
8,F3,Theta,0.057945,0.333133
8,F7,Theta,0.054626,0.363345
8,FC5,Theta,-0.009612,0.871421
8,FC1,Theta,0.108881,0.062250
8,C3,Theta,0.010481,0.859436
8,T7,Theta,0.108665,0.066976
8,CP5,Theta,0.020081,0.733014
8,CP1,Theta,0.124377,0.035199
8,Pz,Theta,0.085344,0.146433
8,P3,Theta,-0.020139,0.732725
8,P7,Theta,-0.011281,0.848037
8,O1,Theta,0.037743,0.527161
8,Oz,Theta,0.107365,0.068369
8,O2,Theta,0.029135,0.620618
8,P4,Theta,0.039153,0.505876
8,P8,Theta,0.024697,0.675877
8,CP6,Theta,-0.004420,0.940680
8,CP2,Theta,0.118862,0.044220
8,Cz,Theta,0.121227,0.038762
8,C4,Theta,0.036634,0.535070
8,T8,Theta,-0.103103,0.083934
8,FC6,Theta,-0.042749,0.473024
8,FC2,Theta,0.130171,0.026129
8,F4,Theta,0.028805,0.625182
8,F8,Theta,-0.041634,0.483107
8,Fp2,Theta,0.018280,0.763238
8,AF7,Theta,0.063271,0.292271
8,AFz,Theta,0.076630,0.193951
8,F1,Theta,0.134164,0.022069
8,F5,Theta,-0.011414,0.848395
8,FT7,Theta,0.006896,0.907731
8,FC3,Theta,0.033066,0.572272
8,C1,Theta,0.125825,0.031600
8,C5,Theta,0.092029,0.121121
8,TP7,Theta,0.132239,0.024563
8,P1,Theta,0.035936,0.541472
8,P5,Theta,-0.026943,0.646582
8,PO7,Theta,-0.015487,0.794621
8,PO3,Theta,0.093401,0.113104
8,POz,Theta,0.099383,0.091726
8,PO4,Theta,0.112667,0.054464
8,PO8,Theta,0.001488,0.979936
8,P6,Theta,0.032460,0.580647
8,P2,Theta,0.059015,0.318268
8,CPz,Theta,0.031901,0.589123
8,TP8,Theta,0.049081,0.408294
8,C6,Theta,0.035144,0.558845
8,C2,Theta,0.034242,0.561400
8,FC4,Theta,0.005420,0.926403
8,FT8,Theta,-0.035638,0.547633
8,F6,Theta,0.018414,0.759431
8,AF8,Theta,0.077408,0.195753
8,F2,Theta,0.067598,0.247906
9,Fp1,Theta,0.008944,0.889224
9,Fz,Theta,-0.046211,0.468793
9,F3,Theta,0.039819,0.531696
9,F7,Theta,0.005842,0.927213
9,FC5,Theta,-0.028627,0.655681
9,FC1,Theta,-0.006085,0.923892
9,C3,Theta,-0.111961,0.077838
9,T7,Theta,0.041338,0.521294
9,CP5,Theta,-0.150521,0.017464
9,CP1,Theta,0.039178,0.539975
9,Pz,Theta,0.098979,0.120783
9,P3,Theta,-0.090919,0.152595
9,P7,Theta,-0.086650,0.172881
9,O1,Theta,-0.078387,0.220546
9,Oz,Theta,-0.085868,0.176807
9,O2,Theta,-0.052707,0.408568
9,P4,Theta,0.061226,0.335967
9,P8,Theta,-0.032319,0.613937
9,CP6,Theta,0.041509,0.516117
9,CP2,Theta,0.135779,0.032569
9,Cz,Theta,0.025393,0.690683
9,C4,Theta,0.027241,0.669446
9,T8,Theta,0.031688,0.620882
9,FC6,Theta,-0.060381,0.353690
9,FC2,Theta,0.006682,0.916450
9,F4,Theta,-0.096967,0.127781
9,F8,Theta,0.086027,0.195580
9,Fp2,Theta,-0.073501,0.260729
9,AF7,Theta,0.055585,0.386342
9,AFz,Theta,-0.022704,0.721463
9,F1,Theta,-0.015722,0.805015
9,F5,Theta,-0.032825,0.608406
9,FT7,Theta,0.017479,0.785888
9,FC3,Theta,0.009149,0.885775
9,C1,Theta,-0.060294,0.344365
9,C5,Theta,-0.076286,0.233208
9,TP7,Theta,-0.065713,0.303650
9,P1,Theta,0.053648,0.399284
9,P5,Theta,-0.127149,0.045462
9,PO7,Theta,-0.074624,0.240693
9,PO3,Theta,-0.056743,0.373573
9,POz,Theta,-0.057364,0.367385
9,PO4,Theta,-0.064292,0.312277
9,PO8,Theta,-0.089010,0.161431
9,P6,Theta,-0.092064,0.147473
9,P2,Theta,0.099385,0.117758
9,CPz,Theta,0.082617,0.193831
9,TP8,Theta,-0.025137,0.694828
9,C6,Theta,0.001547,0.980665
9,C2,Theta,0.070881,0.265168
9,FC4,Theta,-0.146869,0.021205
9,FT8,Theta,0.020890,0.744924
9,F6,Theta,-0.032042,0.621353
9,AF8,Theta,-0.009552,0.884196
9,F2,Theta,-0.012184,0.848601
10,Fp1,Theta,-0.098216,0.129194
10,Fz,Theta,-0.092541,0.152941
10,F3,Theta,-0.147619,0.021887
10,F7,Theta,-0.070293,0.278085
10,FC5,Theta,-0.081705,0.210102
10,FC1,Theta,-0.070311,0.277960
10,C3,Theta,0.004800,0.940907
10,T7,Theta,-0.082301,0.204860
10,CP5,Theta,-0.058462,0.366195
10,CP1,Theta,0.120566,0.062202
10,Pz,Theta,-0.099715,0.123425
10,P3,Theta,0.095700,0.139346
10,P7,Theta,0.080148,0.215063
10,O1,Theta,-0.067541,0.296364
10,Oz,Theta,-0.001772,0.978174
10,O2,Theta,-0.021725,0.737210
10,P4,Theta,-0.071740,0.269299
10,P8,Theta,-0.096794,0.135684
10,CP6,Theta,-0.047970,0.460436
10,CP2,Theta,0.031475,0.627547
10,Cz,Theta,-0.010878,0.866589
10,C4,Theta,0.075423,0.245414
10,T8,Theta,0.000604,0.992578
10,FC6,Theta,0.010938,0.866417
10,FC2,Theta,-0.068185,0.292786
10,F4,Theta,-0.099577,0.123949
10,F8,Theta,0.035208,0.588870
10,Fp2,Theta,0.028480,0.659996
10,AF7,Theta,-0.123897,0.054755
10,AFz,Theta,-0.067125,0.300374
10,F1,Theta,-0.046698,0.473361
10,F5,Theta,-0.110952,0.086310
10,FT7,Theta,-0.005539,0.932553
10,FC3,Theta,-0.079456,0.219063
10,C1,Theta,-0.035646,0.581863
10,C5,Theta,-0.079492,0.222757
10,TP7,Theta,0.037030,0.567277
10,P1,Theta,0.099490,0.125074
10,P5,Theta,-0.069183,0.284751
10,PO7,Theta,-0.089217,0.169200
10,PO3,Theta,-0.031714,0.624206
10,POz,Theta,-0.090681,0.161402
10,PO4,Theta,-0.008608,0.894457
10,PO8,Theta,-0.060991,0.345785
10,P6,Theta,-0.025846,0.689727
10,P2,Theta,-0.067280,0.299257
10,CPz,Theta,-0.011140,0.864259
10,TP8,Theta,0.008627,0.894891
10,C6,Theta,0.060816,0.347174
10,C2,Theta,0.069510,0.284502
10,FC4,Theta,-0.086293,0.183671
10,FT8,Theta,0.052014,0.421504
10,F6,Theta,-0.089856,0.167053
10,AF8,Theta,0.091067,0.163176
10,F2,Theta,-0.068104,0.293365
11,Fp1,Theta,0.058039,0.323822
11,Fz,Theta,0.094529,0.106961
11,F3,Theta,0.006572,0.911276
11,F7,Theta,0.071723,0.225771
11,FC5,Theta,0.091363,0.126539
11,FC1,Theta,0.078929,0.178607
11,C3,Theta,0.051007,0.388460
11,T7,Theta,-0.052852,0.374036
11,CP5,Theta,-0.051005,0.394359
11,CP1,Theta,0.035813,0.544969
11,Pz,Theta,0.101792,0.085176
11,P3,Theta,0.173261,0.003074
11,P7,Theta,0.049021,0.404768
11,O1,Theta,0.133010,0.023978
11,Oz,Theta,0.082334,0.161259
11,O2,Theta,0.066919,0.256810
11,P4,Theta,0.104578,0.074884
11,P8,Theta,0.083989,0.152265
11,CP6,Theta,0.069357,0.237397
11,CP2,Theta,0.120461,0.040020
11,Cz,Theta,0.011477,0.845430
11,C4,Theta,-0.023364,0.695023
11,T8,Theta,-0.003939,0.947589
11,FC6,Theta,0.068230,0.258602
11,FC2,Theta,0.043005,0.468021
11,F4,Theta,0.121794,0.038864
11,F8,Theta,-0.042527,0.475322
11,Fp2,Theta,0.028750,0.627054
11,AF7,Theta,0.040955,0.487237
11,AFz,Theta,0.048535,0.412714
11,F1,Theta,0.069166,0.240323
11,F5,Theta,0.034126,0.565447
11,FT7,Theta,0.062442,0.291768
11,FC3,Theta,0.124477,0.034415
11,C1,Theta,-0.031006,0.598981
11,C5,Theta,-0.085908,0.163183
11,TP7,Theta,-0.063899,0.283187
11,P1,Theta,0.159791,0.006579
11,P5,Theta,0.035389,0.549045
11,PO7,Theta,0.078064,0.184953
11,PO3,Theta,0.197006,0.000711
11,POz,Theta,0.213409,0.000258
11,PO4,Theta,0.108962,0.064805
11,PO8,Theta,0.093634,0.110956
11,P6,Theta,0.098371,0.093382
11,P2,Theta,0.130477,0.026034
11,CPz,Theta,0.099585,0.092774
11,TP8,Theta,0.061609,0.294061
11,C6,Theta,0.039106,0.507118
11,C2,Theta,0.047087,0.425186
11,FC4,Theta,0.007269,0.902756
11,FT8,Theta,0.018884,0.753493
11,F6,Theta,0.023733,0.689923
11,AF8,Theta,0.043321,0.466324
11,F2,Theta,0.124668,0.033826
12,Fp1,Theta,-0.054384,0.476011
12,Fz,Theta,-0.060947,0.420327
12,F3,Theta,-0.109081,0.149554
12,F7,Theta,0.031842,0.675712
12,FC5,Theta,-0.059938,0.432073
12,FC1,Theta,-0.152550,0.043257
12,C3,Theta,-0.112882,0.135791
12,T7,Theta,0.101207,0.187795
12,CP5,Theta,0.014536,0.851657
12,CP1,Theta,-0.065515,0.383576
12,Pz,Theta,-0.037431,0.615903
12,P3,Theta,0.076429,0.321877
12,P7,Theta,-0.017945,0.819040
12,O1,Theta,-0.122075,0.143541
12,Oz,Theta,0.014127,0.861498
12,O2,Theta,-0.160506,0.041958
12,P4,Theta,0.017441,0.820876
12,P8,Theta,0.050524,0.510407
12,CP6,Theta,0.082502,0.283372
12,CP2,Theta,0.023765,0.752857
12,Cz,Theta,0.064386,0.393188
12,C4,Theta,0.052285,0.493231
12,T8,Theta,-0.157975,0.039640
12,FC6,Theta,-0.027871,0.715860
12,FC2,Theta,0.050055,0.505782
12,F4,Theta,-0.010006,0.896046
12,F8,Theta,0.120065,0.110408
12,Fp2,Theta,-0.049594,0.521954
12,AF7,Theta,-0.004973,0.947777
12,AFz,Theta,-0.071456,0.355893
12,F1,Theta,-0.147535,0.050697
12,F5,Theta,-0.025230,0.740327
12,FT7,Theta,-0.047407,0.541720
12,FC3,Theta,-0.138924,0.068325
12,C1,Theta,-0.044046,0.557135
12,C5,Theta,-0.010386,0.890565
12,TP7,Theta,0.126820,0.098350
12,P1,Theta,-0.010138,0.892260
12,P5,Theta,-0.084391,0.272459
12,PO7,Theta,-0.004789,0.953463
12,PO3,Theta,-0.078718,0.317879
12,POz,Theta,0.016532,0.834603
12,PO4,Theta,-0.087435,0.267072
12,PO8,Theta,-0.025450,0.745574
12,P6,Theta,0.050323,0.514591
12,P2,Theta,0.036598,0.625719
12,CPz,Theta,-0.064423,0.388899
12,TP8,Theta,-0.062711,0.423593
12,C6,Theta,-0.130485,0.086134
12,C2,Theta,-0.093394,0.218953
12,FC4,Theta,0.005607,0.940790
12,FT8,Theta,0.015027,0.844430
12,F6,Theta,0.070206,0.370220
12,AF8,Theta,0.059208,0.443111
12,F2,Theta,-0.022501,0.770864
13,Fp1,Theta,0.020120,0.737019
13,Fz,Theta,-0.020689,0.728940
13,F3,Theta,-0.019602,0.742660
13,F7,Theta,0.103601,0.082438
13,FC5,Theta,0.093161,0.116593
13,FC1,Theta,0.051405,0.386436
13,C3,Theta,0.030787,0.605386
13,T7,Theta,0.075401,0.215985
13,CP5,Theta,0.005697,0.923719
13,CP1,Theta,-0.028127,0.638721
13,Pz,Theta,-0.028031,0.635697
13,P3,Theta,-0.007095,0.904402
13,P7,Theta,0.042274,0.478743
13,O1,Theta,0.023814,0.686839
13,Oz,Theta,0.009860,0.867914
